TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
JSRE11;77,36;8,22;0,68;1.634.403,48;0,15;-2,40;-9,42;2.364.109.157,37;52.261,00;Ativa;
GCRI11;98,45;12,74;0,98;237.862,20;2,66;;;100.208.755,09;1.243,00;Ativa;
RBLG11;87,10;8,36;0,83;730.187,00;1,54;;;66.825.500,17;104,00;Ativa;
RBRR11;102,98;9,49;1,02;3.623.389,24;4,80;11,97;-1,97;1.043.340.841,05;84.578,00;Ativa;
VVPR11;91,38;9,24;0,88;449.960,40;1,41;;;238.464.430,38;1.392,00;Ativa;
RBRF11;72,36;9,96;0,83;3.757.585,00;1,68;-7,65;-11,10;1.194.884.791,18;80.136,00;Ativa;
FLCR11;99,60;13,17;0,99;453.344,52;3,81;;;50.185.828,63;842,00;Ativa;
CPTS11;97,50;12,59;1,03;7.627.918,28;0,21;13,94;-1,64;2.646.336.850,54;136.986,00;Ativa;
GALG11;97,50;10,34;0,98;388.076,36;0,02;;;558.924.528,85;6.245,00;Ativa;
HGIC11;107,48;8,40;1,00;487.519,25;8,90;;;27.510.587,86;235,00;Ativa;
VINO11;49,58;11,84;0,90;3.168.210,52;2,96;;;699.302.246,47;100.857,00;Ativa;
XPIN11;86,56;8,72;0,79;534.650,00;6,07;-4,10;-10,31;786.901.110,67;51.854,00;Ativa;
KNIP11;102,75;14,32;1,04;11.774.085,24;3,11;19,87;-1,95;7.061.331.137,79;62.803,00;Ativa;
TGAR11;115,92;12,15;0,88;3.182.324,36;4,90;9,48;-2,06;1.496.956.687,22;80.194,00;Ativa;
RBHY11;99,91;14,34;1,03;445.890,32;8,76;;;153.973.051,71;1.992,00;Ativa;
PATL11;74,00;9,24;0,75;1.218.929,12;1,01;;;489.595.317,27;14.011,00;Ativa;
BCRI11;108,93;13,50;1,02;1.065.970,36;5,37;13,50;-0,89;667.242.431,60;45.575,00;Ativa;
RELG11;80,77;11,18;0,66;203.863,84;1,04;;;162.778.565,46;4.541,00;Ativa;
